,Item ID,Item Name,Category,Subcategory,Verb,Primary Use,Description,Acquisition / Deployment,Act / Timing,Source Type,Battle Use?,Overworld Use?,Save / Journal Data?,Asset Need,Engine / Tiled Hook,Status,Priority,Notes
0,GR-AUR-001,Remedy Staff,Guild Relic,Aurora Apothecary,Heal,Focus / Catalyst healing,Soft green healing particles and herbal glow,Guild HQ research reward,Act III discovery / Act IV trial-ready,Quest reward,Yes,Possible cleanse/heal interaction later,Yes,1 idle/hold frame + heal particles,heal_glow_vfx; possible HP restore,Approved,High,Core healing relic
1,GR-CHR-001,Projected Voice,Guild Relic,Chronicler's Spire,Project,Spell projectile sonic wave,Projectile sound waves,Guild HQ research reward,Act III discovery / Act IV trial-ready,Quest reward,Yes,Possible distant switch/sonic interaction later,Yes,Projectile wave VFX,projectile_sonic_vfx,Approved,Medium,Good for Arts/A/V/Communications identity
2,GR-EMP-001,Guardian Embrace,Guild Relic,Empath's Enclave,Shield,Focus / Catalyst shield,Spectral ribbons and emotional aura effects,Guild HQ research reward,Act III discovery / Act IV trial-ready,Quest reward,Yes,Could block hazard/damage later,Yes,Shield aura effect,shield_flash_vfx,Approved,Medium,Human Services identity; protection/support fantasy
3,GR-MER-001,Freezing Prices,Guild Relic,Mercantile's Citadel,Project,Spell projectile ice,Projectile ice and snow,Guild HQ research reward,Act III discovery / Act IV trial-ready,Quest reward,Yes,Could freeze temporary hazards later,Yes,Ice projectile VFX,projectile_ice_vfx,Approved,Medium,Business/Marketing-adjacent pun is fun
4,GR-ETH-001,Code Surge,Guild Relic,The Etheric Nexus,Project,Spell projectile lightning,Projectile digital sparks,Guild HQ research reward,Act III discovery / Act IV trial-ready,Quest reward,Yes,Could activate digital nodes later,Yes,Lightning/digital projectile VFX,projectile_lightning_vfx,Approved,High,Strong IT identity
5,GR-VUL-001,Molten Core,Guild Relic,The Great Vulcanis Forge,Project,Spell projectile fire,Molten sparks and forge fire embers,Guild HQ research reward,Act III discovery / Act IV trial-ready,Quest reward,Yes,Could light braziers or clear frost later,Yes,Fire projectile VFX,projectile_fire_vfx,Approved,Medium,Manufacturing/forge fantasy
6,GR-AET-001,Harvest Scythe,Guild Relic,Aethelwood Farmsteads,Slash,Polearm / Reach slash,"Amber-green root magic, sweeping grass FX",Guild HQ research reward,Act III discovery / Act IV trial-ready,Quest reward,Yes,Slash vines/tall grass/brambles,Yes,Single-frame weapon + slash arc,slash_arc_vfx; grass_sweep_vfx,Approved,High,Aethelwood beta candidate
7,GR-MON-001,Stonebreaker Hammer,Guild Relic,Monolith of Masonry,Smash,Heavy Bludgeon,Downward swing with a heavy thud,Guild HQ research reward,Act III discovery / Act IV trial-ready,Quest reward,Yes,Smash cracked rocks/barriers later,Yes,Single-frame weapon + impact burst,smash_impact_vfx; screen_shake_light,Approved,High,Clear overworld verb
8,GR-ALC-001,Catalyst Grenade,Guild Relic,The Alchemical Observatory,Throw,Thrown Explosive,Potion explosions and volatile reactions,Guild HQ research reward,Act III discovery / Act IV trial-ready,Quest reward,Yes,Throw to distant targets later,Yes,Throwable arc + burst,thrown_burst_vfx,Approved,Medium,STEM identity; use carefully in school-safe framing
9,GR-CRO-001,Traveler's Saber,Guild Relic,The Crossroads Haven,Slash,Light Blade,Warm campfire tones and traveler aesthetic,Guild HQ research reward,Act III discovery / Act IV trial-ready,Quest reward,Yes,General light slash,Yes,Light slash frame,slash_light_vfx,Approved,Medium,Hospitality/travel realm; very usable
