"id","priority","approval_status","duration_seconds","prompt_influence","intended_event","prompt","file"
"save_confirm","P0","approved_and_integrated","1.2","0.55","Successful save confirmation","Short magical save confirmation chime for a warm educational fantasy game, three gentle ascending crystal notes, soft parchment shimmer, reassuring and complete, no music, no voice, clean ending","save_confirm.mp3"
"quest_complete","P0","approved_and_integrated","1.8","0.55","Quest completion","Concise fantasy quest completion flourish, warm brass-like magical tone with a bright final bell, encouraging and earned, suitable for students, no voice, no long music tail","quest_complete.mp3"
"item_acquired","P0","approved_and_integrated","1.1","0.6","Memento or inventory reward acquired","Tiny fantasy item acquired sound, soft satchel rustle followed by one bright enchanted coin-like ping, warm and rewarding, no voice, no music","item_acquired.mp3"
"action_blocked","P0","approved_and_integrated","0.7","0.65","Blocked, invalid, or unavailable player action","Gentle fantasy action unavailable sound, muted wooden click with a low soft magical thud, informative rather than punishing, no voice, no harsh buzzer","action_blocked.mp3"
"answer_correct","P0","approved_and_integrated","0.8","0.6","Knowledge combat correct answer","Very short correct answer sound for a fantasy learning game, clear bright rune ping with a subtle upward sparkle, confident and encouraging, no voice","answer_correct.mp3"
"answer_incorrect","P0","approved_and_integrated","0.75","0.65","Knowledge combat incorrect answer","Very short incorrect answer sound for a fantasy learning game, soft dull rune pulse with a gentle downward tone, calm and non-punitive, no voice, no buzzer","answer_incorrect.mp3"
"traveler_hit","P1","unreviewed","0.55","0.65","Exploration combat: Traveler takes damage","Short stylized fantasy game impact on a cloaked adventurer, soft cloth and light armor hit with magical energy, readable but not violent, no voice","traveler_hit.mp3"
"lost_echo_hit","P1","unreviewed","0.65","0.65","Exploration combat: Lost Echo takes damage","Short impact against a shadowy magical echo, airy spectral crack and dissipating dark shimmer, readable fantasy combat feedback, no voice","lost_echo_hit.mp3"
"dialogue_open","P1","unreviewed","0.65","0.55","NPC dialogue opens; candidate must remain unobtrusive under narration","Subtle fantasy dialogue opening sound, quiet parchment lift and tiny warm rune glow, intimate and unobtrusive, designed to sit under spoken narration, no voice","dialogue_open.mp3"
"dialogue_advance","P1","unreviewed","0.35","0.6","NPC dialogue advances; candidate must remain unobtrusive under narration","Extremely subtle fantasy dialogue page advance, tiny dry parchment tick with a faint warm magical sparkle, unobtrusive under narration, no voice","dialogue_advance.mp3"
"oracle_altar_awaken","P1","unreviewed","2.8","0.55","Oracle altar Scroll activation before cinematic","Ancient oracle altar awakening in a fantasy shrine, low stone resonance, three rising rune tones, restrained ethereal energy, sacred and mysterious, no voice, no music","oracle_altar_awaken.mp3"
"prophecy_sealed","P1","unreviewed","2.1","0.55","Oracle prophecy branded onto the Scroll","Mystical prophecy sealed into an ancient scroll, luminous rune flare, soft ember imprint, one clear final chime, serene and consequential, no voice, no music","prophecy_sealed.mp3"
"campfire_reflection_saved","P2","unreviewed","1.8","0.5","Successful end-session reflection save","Warm fantasy campfire reflection saved sound, gentle ember crackle, soft notebook close, peaceful ascending glow tone, reassuring, no voice, no music","campfire_reflection_saved.mp3"
