"clip_id","sequence_id","page","page_count","speaker","trigger","file","text","voice_direction"
"master_scribe_mq_101__p01","master_scribe_mq_101","1","4","master_scribe","MQ-101 active or available","master_scribe_mq_101__p01.mp3","Traveler... At last.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_101__p02","master_scribe_mq_101","2","4","master_scribe","MQ-101 active or available","master_scribe_mq_101__p02.mp3","You have crossed the threshold and arrived in the Grey Commons. Every path in the Horizon begins here. The roads stretch in every direction. Some lead to prosperity. Some to purpose. Yet from where you stand, they all appear hidden by fog.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_101__p03","master_scribe_mq_101","3","4","master_scribe","MQ-101 active or available","master_scribe_mq_101__p03.mp3","This is the Scroll of Destiny. One day it will contain the story of your journey. But today - its pages are blank. As they should be.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_101__p04","master_scribe_mq_101","4","4","master_scribe","MQ-101 active or available","master_scribe_mq_101__p04.mp3","Before the Scroll can guide you, you must first discover who you are. Beyond these fields stands the Mirror of Maia. Seek it. Learn what it reveals. Then return to me.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_102__p01","master_scribe_mq_102","1","1","master_scribe","MQ-102 active or available","master_scribe_mq_102__p01.mp3","The Mirror of Maia awaits, Traveler. Beyond these fields - seek it. Return when you have glimpsed your first sign.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_103__p01","master_scribe_mq_103","1","4","master_scribe","MQ-103 active or available","master_scribe_mq_103__p01.mp3","The Echoes grow bolder.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_103__p02","master_scribe_mq_103","2","4","master_scribe","MQ-103 active or available","master_scribe_mq_103__p02.mp3","They gather where purpose is unclear.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_103__p03","master_scribe_mq_103","3","4","master_scribe","MQ-103 active or available","master_scribe_mq_103__p03.mp3","Stand with me, Traveler.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_103__p04","master_scribe_mq_103","4","4","master_scribe","MQ-103 active or available","master_scribe_mq_103__p04.mp3","Drive them back.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_104__p01","master_scribe_mq_104","1","4","master_scribe","MQ-104 active or available","master_scribe_mq_104__p01.mp3","Good. The Echoes have scattered.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_104__p02","master_scribe_mq_104","2","4","master_scribe","MQ-104 active or available","master_scribe_mq_104__p02.mp3","You have learned that some uncertainty must be faced directly.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_104__p03","master_scribe_mq_104","3","4","master_scribe","MQ-104 active or available","master_scribe_mq_104__p03.mp3","Now return to the Mirror of Maia.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_104__p04","master_scribe_mq_104","4","4","master_scribe","MQ-104 active or available","master_scribe_mq_104__p04.mp3","Your next sign is waiting.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_105__p01","master_scribe_mq_105","1","12","master_scribe","MQ-105 active or available","master_scribe_mq_105__p01.mp3","Well done, Traveler.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_105__p02","master_scribe_mq_105","2","12","master_scribe","MQ-105 active or available","master_scribe_mq_105__p02.mp3","You drove back the Echoes of doubt.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_105__p03","master_scribe_mq_105","3","12","master_scribe","MQ-105 active or available","master_scribe_mq_105__p03.mp3","But there is one more you must face.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_105__p04","master_scribe_mq_105","4","12","master_scribe","MQ-105 active or available","master_scribe_mq_105__p04.mp3","This Echo is different.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_105__p05","master_scribe_mq_105","5","12","master_scribe","MQ-105 active or available","master_scribe_mq_105__p05.mp3","Steel alone will not scatter it.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_105__p06","master_scribe_mq_105","6","12","master_scribe","MQ-105 active or available","master_scribe_mq_105__p06.mp3","Force will not help you here.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_105__p07","master_scribe_mq_105","7","12","master_scribe","MQ-105 active or available","master_scribe_mq_105__p07.mp3","This Echo questions.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_105__p08","master_scribe_mq_105","8","12","master_scribe","MQ-105 active or available","master_scribe_mq_105__p08.mp3","It tests what you know - not how hard you can strike.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_105__p09","master_scribe_mq_105","9","12","master_scribe","MQ-105 active or available","master_scribe_mq_105__p09.mp3","Approach it and press Enter.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_105__p10","master_scribe_mq_105","10","12","master_scribe","MQ-105 active or available","master_scribe_mq_105__p10.mp3","Answer with what you have learned.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_105__p11","master_scribe_mq_105","11","12","master_scribe","MQ-105 active or available","master_scribe_mq_105__p11.mp3","The Echo glows nearby.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_105__p12","master_scribe_mq_105","12","12","master_scribe","MQ-105 active or available","master_scribe_mq_105__p12.mp3","Find it when you are ready.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_106__p01","master_scribe_mq_106","1","5","master_scribe","MQ-106 active or available","master_scribe_mq_106__p01.mp3","Well answered.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_106__p02","master_scribe_mq_106","2","5","master_scribe","MQ-106 active or available","master_scribe_mq_106__p02.mp3","Not every Echo is defeated by force.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_106__p03","master_scribe_mq_106","3","5","master_scribe","MQ-106 active or available","master_scribe_mq_106__p03.mp3","Some fade only when met with understanding.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_106__p04","master_scribe_mq_106","4","5","master_scribe","MQ-106 active or available","master_scribe_mq_106__p04.mp3","Return to Maia, Traveler.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_106__p05","master_scribe_mq_106","5","5","master_scribe","MQ-106 active or available","master_scribe_mq_106__p05.mp3","The next reflection awaits.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_107__p01","master_scribe_mq_107","1","7","master_scribe","MQ-107 active or available","master_scribe_mq_107__p01.mp3","Every Traveler needs more than courage and reflection.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_107__p02","master_scribe_mq_107","2","7","master_scribe","MQ-107 active or available","master_scribe_mq_107__p02.mp3","They need records.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_107__p03","master_scribe_mq_107","3","7","master_scribe","MQ-107 active or available","master_scribe_mq_107__p03.mp3","Tools.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_107__p04","master_scribe_mq_107","4","7","master_scribe","MQ-107 active or available","master_scribe_mq_107__p04.mp3","Maps.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_107__p05","master_scribe_mq_107","5","7","master_scribe","MQ-107 active or available","master_scribe_mq_107__p05.mp3","Memories.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_107__p06","master_scribe_mq_107","6","7","master_scribe","MQ-107 active or available","master_scribe_mq_107__p06.mp3","Open the Scroll of Destiny.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_107__p07","master_scribe_mq_107","7","7","master_scribe","MQ-107 active or available","master_scribe_mq_107__p07.mp3","Find what it remembers.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_108__p01","master_scribe_mq_108","1","4","master_scribe","MQ-108 active or available","master_scribe_mq_108__p01.mp3","Good.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_108__p02","master_scribe_mq_108","2","4","master_scribe","MQ-108 active or available","master_scribe_mq_108__p02.mp3","The Scroll will remember what the mind forgets.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_108__p03","master_scribe_mq_108","3","4","master_scribe","MQ-108 active or available","master_scribe_mq_108__p03.mp3","One reflection remains.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
